period;metric;metric_params;config_label;max_iter;n_init;n_clusters;mean_inertia;std_inertia;mean_silhouette;std_silhouettenighttime;euclidean;None;Euclidiana;20;3;2;45536.345150982146;0.0;0.4948695210206531;5.551115123125783e-17
nighttime;euclidean;None;Euclidiana;20;3;3;30354.42320833953;5.189014151397526;0.37191788767832307;0.0031201818979247602
nighttime;euclidean;None;Euclidiana;20;3;4;21782.437926490267;174.691682977229;0.3334377725061528;0.002526437884528031
nighttime;euclidean;None;Euclidiana;20;3;5;15810.271103216466;174.69168297722752;0.3395256117940817;0.004620292156940511
nighttime;euclidean;None;Euclidiana;20;5;2;45536.345150982146;0.0;0.4948695210206531;5.551115123125783e-17
nighttime;euclidean;None;Euclidiana;20;5;3;30350.754021245404;0.0;0.37412418945688114;0.0
nighttime;euclidean;None;Euclidiana;20;5;4;21569.91092898806;0.0;0.33700078003579376;0.0
nighttime;euclidean;None;Euclidiana;20;5;5;15737.546408796277;98.85515653479149;0.3410818512483942;0.0031084058298411544
nighttime;euclidean;None;Euclidiana;50;3;2;45536.345150982146;0.0;0.4948695210206531;5.551115123125783e-17
nighttime;euclidean;None;Euclidiana;50;3;3;30354.42320833953;5.189014151397526;0.37191788767832307;0.0031201818979247602
nighttime;euclidean;None;Euclidiana;50;3;4;21782.437926490267;174.691682977229;0.3334377725061528;0.002526437884528031
nighttime;euclidean;None;Euclidiana;50;3;5;15810.271103216466;174.69168297722752;0.3395256117940817;0.004620292156940511
nighttime;euclidean;None;Euclidiana;50;5;2;45536.345150982146;0.0;0.4948695210206531;5.551115123125783e-17
nighttime;euclidean;None;Euclidiana;50;5;3;30350.754021245404;0.0;0.37412418945688114;0.0
nighttime;euclidean;None;Euclidiana;50;5;4;21569.91092898806;0.0;0.33700078003579376;0.0
nighttime;euclidean;None;Euclidiana;50;5;5;15737.546408796277;98.85515653479149;0.3410818512483942;0.0031084058298411544
nighttime;dtw;None;DTW (sin restricción);20;3;2;9803.086984800868;233.18934480120134;0.40070790335110945;0.013915985473637576
nighttime;dtw;None;DTW (sin restricción);20;3;3;7915.498885167781;57.6724309434149;0.290346208945587;0.006837354582141958
nighttime;dtw;None;DTW (sin restricción);20;3;4;6699.251267583012;113.2813786880188;0.23681998445816355;0.0016585571695482456
nighttime;dtw;None;DTW (sin restricción);20;3;5;6029.166129302037;53.74346608448618;0.20917424111857064;0.00746592213909188
nighttime;dtw;None;DTW (sin restricción);20;5;2;9694.220951633602;91.25216439316151;0.41071063529278423;0.0004720388792256787
nighttime;dtw;None;DTW (sin restricción);20;5;3;7897.805853835718;69.7359384968083;0.290346208945587;0.006837354582141958
nighttime;dtw;None;DTW (sin restricción);20;5;4;6680.1514134037525;89.98717685128584;0.23569302844302276;0.002559497901172643
nighttime;dtw;None;DTW (sin restricción);20;5;5;6024.436743919304;60.21203479652258;0.21810285750772304;0.01759125784093737
nighttime;dtw;None;DTW (sin restricción);50;3;2;9803.086984800868;233.18934480120134;0.40070790335110945;0.013915985473637576
nighttime;dtw;None;DTW (sin restricción);50;3;3;7915.498885167781;57.6724309434149;0.290346208945587;0.006837354582141958
nighttime;dtw;None;DTW (sin restricción);50;3;4;6699.251267583012;113.2813786880188;0.23681998445816355;0.0016585571695482456
nighttime;dtw;None;DTW (sin restricción);50;3;5;6029.166129302037;53.74346608448618;0.20917424111857064;0.00746592213909188
nighttime;dtw;None;DTW (sin restricción);50;5;2;9694.220951633602;91.25216439316151;0.41071063529278423;0.0004720388792256787
nighttime;dtw;None;DTW (sin restricción);50;5;3;7897.805853835718;69.7359384968083;0.290346208945587;0.006837354582141958
nighttime;dtw;None;DTW (sin restricción);50;5;4;6680.1514134037525;89.98717685128584;0.23569302844302276;0.002559497901172643
nighttime;dtw;None;DTW (sin restricción);50;5;5;6024.436743919304;60.21203479652258;0.21810285750772304;0.01759125784093737
nighttime;euclidean;None;Euclidiana;20;3;2;45536.345150982146;0.0;0.4948695210206531;5.551115123125783e-17
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;3;2;10983.590777733807;227.68191314018077;0.544335061588754;0.00801241126259845
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;3;3;8703.881616244293;88.74700157045376;0.421104262620158;0.0007307409535742168
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;3;4;7035.745224719474;246.03005996411395;0.3194508736283577;0.020120368099401265
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;3;5;6028.38009401892;151.9850829254368;0.33211608166352635;0.010567466972837267
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;5;2;10922.426691647981;203.47424747500105;0.5500006919261928;0.0
nighttime;dtw;{'global_constraint': 'sakoe_chiba', 'sakoe_chiba_radius': 201};DTW Sakoe-Chiba r=201;20;5;3;8530.797180223535;36.34386954440806;0.41973427988609774;0.002304138298923933
