Station_ID;Cluster
1;0
2;0
3;2
5;3
6;0
8;0
10;2
11;0
12;2
13;1
14;2
16;3
17;1
18;1
19;3
20;3
24;1
25;0
26;3
27;3
28;2
29;1
30;1
31;3
47;1
48;3
50;0
54;3
55;1
86;1
