FECHA;Cluster_0;Cluster_1;Cluster_2
2015-01-02;61.58276751261526;52.85110904294581;43.2
2015-01-03;63.41514146489853;54.55289840786928;44.5
2015-01-04;63.32919978294939;55.24417698346443;44.2
2015-01-05;61.89044937666911;54.435362151630954;43.9
2015-01-06;63.23991658632152;54.25834829952543;43.5
2015-01-07;61.48466372166705;53.22555396556148;43.8
2015-01-08;61.95666298801935;54.0431193041134;44.39999999999999
2015-01-09;62.29627582281324;53.61381933934241;43.6
2015-01-10;63.648749862206735;54.365281755485796;45.0
2015-01-11;63.780861788631206;53.83391899216373;44.900000000000006
2015-01-12;61.1973309616829;53.691843070726996;42.7
2015-01-13;61.028175501477115;53.166637440479356;43.5
2015-01-14;61.52934885543088;52.77119139532522;41.8
2015-01-15;61.629723043302505;52.6442092538438;40.2
2015-01-16;64.1352236913839;54.63599776005121;41.89999999999999
2015-01-17;63.938342465578614;53.926046820143554;40.5
2015-01-18;63.95642253785581;53.60868981430827;41.7
2015-01-19;63.03216818609073;54.76562555726972;42.7
2015-01-20;61.26012241607755;52.53774595314809;39.8
2015-01-21;61.714516857018545;52.77023831432902;40.099999999999994
2015-01-22;62.17591677332842;53.652868125531484;44.5
2015-01-23;63.02500952478165;53.546187394759;42.5
2015-01-24;64.2398337604399;54.24896720683111;41.89999999999999
2015-01-25;63.47101905335241;53.62799926571927;41.7
2015-01-26;61.071485945779585;52.927091866245874;42.3
2015-01-27;61.140766244593905;52.724492230415706;42.5
2015-01-28;61.626343601261866;53.18300667100446;42.599999999999994
2015-01-29;62.193358958326826;53.35863930872324;41.5
2015-01-30;62.432769396098124;53.145583183167;41.6
2015-01-31;65.43725060981548;56.20433204436951;47.599999999999994
2015-02-01;64.19312338985145;54.115602022543285;46.8
2015-02-02;61.05880013537383;53.06822983365557;39.8
2015-02-03;62.00520883367028;53.80441822194797;41.4
2015-02-04;62.18651277140261;53.28399129552594;43.2
2015-02-05;62.094761969853984;53.48327600772479;44.6
2015-02-06;62.97280723053076;53.27132913991157;39.5
2015-02-07;63.79531831680644;53.657496441518695;41.5
2015-02-08;64.14090360035536;54.05727150112831;41.1
2015-02-09;61.25439629985708;53.208274394983704;44.0
2015-02-10;60.864315625210814;52.73839640217333;41.4
2015-02-11;61.25045975785346;52.78601844588999;40.60000000000001
2015-02-12;61.73447990220885;53.3257427568435;41.2
2015-02-13;62.90350901245159;53.59384107518594;41.89999999999999
2015-02-14;64.14765134520196;53.987187860768984;42.0
2015-02-15;66.00959670139416;55.41714525292428;41.6
2015-02-16;61.146714653680725;52.82060892651715;38.4
2015-02-17;62.22802733846073;54.365518729298834;48.5
2015-02-18;61.35667860122481;53.45721051034019;42.400000000000006
2015-02-19;64.5769334492993;53.439116865194535;41.3
2015-02-20;62.55262111436569;53.36189844450005;42.3
2015-02-21;65.37593396177246;54.50948438616653;40.7
2015-02-22;63.75693405736829;54.06977807469174;39.6
2015-02-23;61.06986557065561;53.06825778023382;39.0
2015-02-24;60.69481318711798;53.47614265269097;43.3
2015-02-25;61.13357738497851;53.120704578665766;41.7
2015-02-26;61.690166290144134;53.39396399450463;39.5
2015-02-27;62.45615265088179;53.55266895685324;39.3
2015-02-28;63.80174118197815;54.057584836768825;41.8
2015-03-01;64.21859780966842;54.50386866283259;41.88000000000001
2015-03-02;61.52030741448007;52.77011200038571;40.2
2015-03-03;60.98767148087603;52.8603803614239;40.9
2015-03-04;61.1451137759082;52.60902946969337;41.8
2015-03-05;61.46965357842555;52.91680828973533;41.89999999999999
2015-03-06;61.792809505364005;53.1142519693489;40.3
2015-03-07;63.40500200070152;54.224508679082575;43.8
2015-03-08;63.542624952552075;53.94643122493369;43.9
2015-03-09;60.6461824639991;52.729367812524764;42.2
2015-03-10;60.497657201018306;53.13534211108755;42.5
2015-03-11;61.637573751699406;53.28397243979681;42.5
2015-03-12;61.32188797582974;53.045933505760786;42.5
2015-03-13;62.078722163046365;53.62147507635713;42.599999999999994
2015-03-14;63.35070788660865;54.185339306415166;41.2
2015-03-15;63.71580284395007;53.93922109139986;40.3
2015-03-16;61.29113369120421;52.82388532556239;40.2
2015-03-17;60.72455972484671;52.78465634389725;41.5
2015-03-18;61.18013247454216;52.63970095061551;43.3
2015-03-19;64.0008305680289;54.5602708815031;41.6
2015-03-20;61.82087226777458;53.700038094397485;47.8
2015-03-21;64.39932851946968;54.790176688672446;43.10000000000001
2015-03-22;64.63984249555503;54.878003022495676;43.10000000000001
2015-03-23;63.110167779897175;54.83731598577103;40.8
2015-03-24;63.10694280037061;54.99255777195966;41.2
2015-03-25;61.557226040925805;54.649644238206875;46.0
2015-03-26;61.84170661766599;53.95760148817652;41.5
2015-03-27;62.723490567513245;54.212064322847766;41.8
2015-03-28;63.811933905348255;54.77175206496031;44.39999999999999
2015-03-29;63.18363378872385;54.1495712437918;37.4
2015-03-30;61.061604162883256;53.34629366920652;39.1
2015-03-31;60.59235263602221;53.367529290471474;40.2
2015-04-01;60.88646124840941;53.203225357550195;40.8
2015-04-02;60.99834297902096;52.98505907106665;40.3
2015-04-03;60.74408522292619;53.01651568709636;43.2
2015-04-04;60.50194379116106;52.550852716852326;39.1
2015-04-05;61.48127079317763;52.76817641695765;40.60000000000001
2015-04-06;60.66314412622174;52.88996140308524;40.7
2015-04-07;60.19934662382789;52.60516011922207;40.099999999999994
2015-04-08;60.57678457394529;52.9741075707447;43.8
2015-04-09;60.931208728534536;52.763694450706154;42.8
2015-04-10;62.37323945901349;53.64308726115179;40.2
2015-04-11;63.44859754628611;54.94867522964079;41.8
2015-04-12;63.43506772998019;54.1296239747798;40.4
2015-04-13;60.86409336225521;53.11941294624282;41.4
2015-04-14;60.4581134351724;52.80111947225858;41.7
2015-04-15;60.747502711775844;53.10210313255475;41.2
