window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,1.0145,1.1905,1.0911,1.6814
2,3514,2024-08-16,2024-08-29,14,0.6317,0.5175,0.7194,1.0485
3,3528,2024-08-30,2024-09-12,14,0.4876,0.3875,0.6225,0.7885
4,3542,2024-09-13,2024-09-26,14,0.5237,0.3634,0.6028,0.8504
5,3556,2024-09-27,2024-10-10,14,0.5029,0.3973,0.6303,0.805
6,3570,2024-10-11,2024-10-24,14,0.7156,1.0008,1.0004,1.1313
7,3584,2024-10-25,2024-11-07,14,0.8588,2.0577,1.4345,1.3327
8,3598,2024-11-08,2024-11-21,14,0.3279,0.1656,0.4069,0.5317
9,3612,2024-11-22,2024-12-05,14,0.3987,0.2286,0.4781,0.6335
10,3626,2024-12-06,2024-12-19,14,0.439,0.2902,0.5387,0.6997
11,3640,2024-12-20,2025-01-02,14,1.0207,2.6732,1.635,1.5965
12,3654,2025-01-03,2025-01-16,14,0.6995,0.6412,0.8008,1.1267
13,3668,2025-01-17,2025-01-30,14,0.9749,1.924,1.3871,1.5274
14,3682,2025-01-31,2025-02-13,14,0.9066,1.0705,1.0346,1.4501
15,3696,2025-02-14,2025-02-27,14,0.5964,0.4713,0.6865,0.9618
16,3710,2025-02-28,2025-03-13,14,1.7981,4.2812,2.0691,2.7911
17,3724,2025-03-14,2025-03-27,14,0.98,1.2438,1.1153,1.5557
18,3738,2025-03-28,2025-04-10,14,0.9132,1.2461,1.1163,1.4564
19,3752,2025-04-11,2025-04-24,14,0.7849,0.941,0.9701,1.258
20,3766,2025-04-25,2025-05-08,14,0.809,1.6145,1.2706,1.2755
21,3780,2025-05-09,2025-05-22,14,0.4772,0.343,0.5856,0.7722
22,3794,2025-05-23,2025-06-05,14,0.3209,0.1273,0.3568,0.5199
23,3808,2025-06-06,2025-06-19,14,0.3353,0.1593,0.3991,0.5392
24,3822,2025-06-20,2025-07-03,14,0.3261,0.1958,0.4425,0.5225
25,3836,2025-07-04,2025-07-17,14,1.0131,3.7574,1.9384,1.5374
26,3850,2025-07-18,2025-07-31,14,0.505,0.4302,0.6559,0.822
27,3864,2025-08-01,2025-08-14,14,0.5974,0.4963,0.7045,0.9908
28,3878,2025-08-15,2025-08-28,14,0.1654,0.0613,0.2475,0.2728
29,3892,2025-08-29,2025-09-11,14,0.4794,0.4168,0.6456,0.7731
30,3906,2025-09-12,2025-09-25,14,0.3243,0.1623,0.4029,0.5251
31,3920,2025-09-26,2025-10-09,14,0.5331,0.7842,0.8856,0.8354
32,3934,2025-10-10,2025-10-23,14,0.3941,0.2024,0.4499,0.6352
33,3948,2025-10-24,2025-11-06,14,1.2989,4.9774,2.231,1.9695
34,3962,2025-11-07,2025-11-20,14,0.609,1.0182,1.009,0.9442
35,3976,2025-11-21,2025-12-04,14,0.4249,0.3745,0.6119,0.667
36,3990,2025-12-05,2025-12-18,14,0.7445,1.1802,1.0864,1.1658
