window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.583,0.704,0.8391,0.8901
2,3514,2024-08-16,2024-08-29,14,0.6651,0.5693,0.7545,1.0142
3,3528,2024-08-30,2024-09-12,14,0.4568,0.2726,0.5221,0.6839
4,3542,2024-09-13,2024-09-26,14,0.5042,0.3885,0.6233,0.7439
5,3556,2024-09-27,2024-10-10,14,0.6264,0.7626,0.8733,0.9044
6,3570,2024-10-11,2024-10-24,14,0.7336,0.6516,0.8072,1.0767
7,3584,2024-10-25,2024-11-07,14,0.5383,0.5449,0.7382,0.7959
8,3598,2024-11-08,2024-11-21,14,0.4977,0.6146,0.784,0.7286
9,3612,2024-11-22,2024-12-05,14,0.6104,0.4943,0.7031,0.8919
10,3626,2024-12-06,2024-12-19,14,0.4813,0.5249,0.7245,0.7177
11,3640,2024-12-20,2025-01-02,14,1.2189,3.0997,1.7606,1.8284
12,3654,2025-01-03,2025-01-16,14,1.0336,1.4236,1.1932,1.5149
13,3668,2025-01-17,2025-01-30,14,1.0462,1.7324,1.3162,1.5001
14,3682,2025-01-31,2025-02-13,14,0.4632,0.2993,0.5471,0.6833
15,3696,2025-02-14,2025-02-27,14,0.4815,0.3487,0.5905,0.712
16,3710,2025-02-28,2025-03-13,14,1.6542,3.6866,1.92,2.3721
17,3724,2025-03-14,2025-03-27,14,0.8769,1.4129,1.1887,1.2665
18,3738,2025-03-28,2025-04-10,14,1.0683,2.1128,1.4536,1.5495
19,3752,2025-04-11,2025-04-24,14,0.8251,1.3475,1.1608,1.246
20,3766,2025-04-25,2025-05-08,14,1.0373,4.8617,2.2049,1.4602
21,3780,2025-05-09,2025-05-22,14,0.7614,0.979,0.9894,1.1348
22,3794,2025-05-23,2025-06-05,14,0.4761,0.3105,0.5573,0.7129
23,3808,2025-06-06,2025-06-19,14,0.1885,0.0597,0.2443,0.2819
24,3822,2025-06-20,2025-07-03,14,0.1346,0.0302,0.1737,0.1996
25,3836,2025-07-04,2025-07-17,14,0.3341,0.2034,0.451,0.4972
26,3850,2025-07-18,2025-07-31,14,0.5089,0.529,0.7273,0.7665
27,3864,2025-08-01,2025-08-14,14,0.4627,0.3054,0.5526,0.7041
28,3878,2025-08-15,2025-08-28,14,0.4815,0.88,0.9381,0.7183
29,3892,2025-08-29,2025-09-11,14,0.3861,0.2485,0.4985,0.5767
30,3906,2025-09-12,2025-09-25,14,0.3805,0.2046,0.4523,0.5679
31,3920,2025-09-26,2025-10-09,14,0.4857,0.3819,0.618,0.7217
32,3934,2025-10-10,2025-10-23,14,0.6613,0.5539,0.7442,0.9808
33,3948,2025-10-24,2025-11-06,14,0.3588,0.3112,0.5578,0.5234
34,3962,2025-11-07,2025-11-20,14,0.9801,1.8016,1.3422,1.4262
35,3976,2025-11-21,2025-12-04,14,0.4978,0.4843,0.6959,0.7228
36,3990,2025-12-05,2025-12-18,14,0.8183,1.2269,1.1077,1.2036
