window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,1.1607,1.7704,1.3306,2.3917
2,3514,2024-08-16,2024-08-29,14,1.1826,1.8817,1.3717,2.3973
3,3528,2024-08-30,2024-09-12,14,1.3668,4.4234,2.1032,2.6194
4,3542,2024-09-13,2024-09-26,14,1.2447,2.2448,1.4983,2.5029
5,3556,2024-09-27,2024-10-10,14,0.7947,0.8708,0.9332,1.6545
6,3570,2024-10-11,2024-10-24,14,0.7899,0.9292,0.964,1.5975
7,3584,2024-10-25,2024-11-07,14,1.0199,2.272,1.5073,2.018
8,3598,2024-11-08,2024-11-21,14,0.4613,0.3205,0.5661,0.949
9,3612,2024-11-22,2024-12-05,14,0.3871,0.1977,0.4447,0.7841
10,3626,2024-12-06,2024-12-19,14,0.8657,0.9248,0.9617,1.7747
11,3640,2024-12-20,2025-01-02,14,2.9157,29.2092,5.4045,4.9592
12,3654,2025-01-03,2025-01-16,14,1.1658,1.9631,1.4011,2.4075
13,3668,2025-01-17,2025-01-30,14,0.6886,0.8127,0.9015,1.3788
14,3682,2025-01-31,2025-02-13,14,0.571,0.422,0.6496,1.1608
15,3696,2025-02-14,2025-02-27,14,0.602,0.465,0.6819,1.2246
16,3710,2025-02-28,2025-03-13,14,0.9923,1.5994,1.2647,1.947
17,3724,2025-03-14,2025-03-27,14,0.8194,0.7818,0.8842,1.6408
18,3738,2025-03-28,2025-04-10,14,0.8213,0.8499,0.9219,1.6554
19,3752,2025-04-11,2025-04-24,14,0.8561,1.3312,1.1538,1.777
20,3766,2025-04-25,2025-05-08,14,1.7221,10.7789,3.2831,3.0992
21,3780,2025-05-09,2025-05-22,14,1.7642,6.1219,2.4742,3.3341
22,3794,2025-05-23,2025-06-05,14,0.6455,0.699,0.8361,1.2796
23,3808,2025-06-06,2025-06-19,14,0.6494,0.5242,0.724,1.3037
24,3822,2025-06-20,2025-07-03,14,0.4596,0.3205,0.5661,0.907
25,3836,2025-07-04,2025-07-17,14,0.812,0.919,0.9587,1.6133
26,3850,2025-07-18,2025-07-31,14,0.6736,0.6191,0.7868,1.3568
27,3864,2025-08-01,2025-08-14,14,1.1463,1.5747,1.2549,2.3448
28,3878,2025-08-15,2025-08-28,14,0.9184,0.9992,0.9996,1.8936
29,3892,2025-08-29,2025-09-11,14,1.3491,6.1177,2.4734,2.5
30,3906,2025-09-12,2025-09-25,14,1.0253,1.3211,1.1494,2.0775
31,3920,2025-09-26,2025-10-09,14,0.3784,0.2145,0.4631,0.765
32,3934,2025-10-10,2025-10-23,14,0.6632,0.6328,0.7955,1.3496
33,3948,2025-10-24,2025-11-06,14,0.6935,1.3184,1.1482,1.3723
34,3962,2025-11-07,2025-11-20,14,1.2223,2.8954,1.7016,2.4267
35,3976,2025-11-21,2025-12-04,14,0.385,0.2404,0.4903,0.7845
36,3990,2025-12-05,2025-12-18,14,0.9219,1.3168,1.1475,1.8968
