window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.9923,1.274,1.1287,2.0429
2,3514,2024-08-16,2024-08-29,14,1.2166,2.0481,1.4311,2.4658
3,3528,2024-08-30,2024-09-12,14,1.3488,4.6189,2.1492,2.5782
4,3542,2024-09-13,2024-09-26,14,1.2209,2.5953,1.611,2.4251
5,3556,2024-09-27,2024-10-10,14,0.5948,0.5227,0.723,1.2383
6,3570,2024-10-11,2024-10-24,14,0.9445,1.1685,1.081,1.9215
7,3584,2024-10-25,2024-11-07,14,1.1961,2.5767,1.6052,2.3854
8,3598,2024-11-08,2024-11-21,14,0.4889,0.3465,0.5886,1.0033
9,3612,2024-11-22,2024-12-05,14,0.4179,0.281,0.5301,0.8499
10,3626,2024-12-06,2024-12-19,14,0.5812,0.5341,0.7308,1.1925
11,3640,2024-12-20,2025-01-02,14,2.5513,34.009,5.8317,4.1144
12,3654,2025-01-03,2025-01-16,14,0.6696,0.6659,0.816,1.3818
13,3668,2025-01-17,2025-01-30,14,0.6912,0.8027,0.896,1.3917
14,3682,2025-01-31,2025-02-13,14,1.3062,1.972,1.4043,2.6595
15,3696,2025-02-14,2025-02-27,14,0.5533,0.4311,0.6566,1.1282
16,3710,2025-02-28,2025-03-13,14,1.086,1.8325,1.3537,2.1324
17,3724,2025-03-14,2025-03-27,14,0.7465,0.7558,0.8694,1.4877
18,3738,2025-03-28,2025-04-10,14,0.7715,0.7762,0.881,1.557
19,3752,2025-04-11,2025-04-24,14,1.0256,1.7093,1.3074,2.1248
20,3766,2025-04-25,2025-05-08,14,2.0594,12.3307,3.5115,3.7527
21,3780,2025-05-09,2025-05-22,14,1.8097,6.2757,2.5051,3.426
22,3794,2025-05-23,2025-06-05,14,0.6325,0.5901,0.7682,1.2593
23,3808,2025-06-06,2025-06-19,14,0.6213,0.5241,0.7239,1.2479
24,3822,2025-06-20,2025-07-03,14,0.4948,0.4625,0.6801,0.9771
25,3836,2025-07-04,2025-07-17,14,0.8568,0.9942,0.9971,1.7037
26,3850,2025-07-18,2025-07-31,14,0.5507,0.4213,0.6491,1.099
27,3864,2025-08-01,2025-08-14,14,1.0973,1.5246,1.2348,2.2445
28,3878,2025-08-15,2025-08-28,14,0.8007,0.8881,0.9424,1.6494
29,3892,2025-08-29,2025-09-11,14,1.3931,6.9625,2.6387,2.5695
30,3906,2025-09-12,2025-09-25,14,1.2237,4.1841,2.0455,2.4829
31,3920,2025-09-26,2025-10-09,14,0.3269,0.1712,0.4138,0.6606
32,3934,2025-10-10,2025-10-23,14,0.6039,0.5657,0.7521,1.2275
33,3948,2025-10-24,2025-11-06,14,0.7024,1.4316,1.1965,1.387
34,3962,2025-11-07,2025-11-20,14,1.2584,2.6136,1.6167,2.5062
35,3976,2025-11-21,2025-12-04,14,0.4452,0.3412,0.5841,0.9098
36,3990,2025-12-05,2025-12-18,14,0.8033,0.9975,0.9987,1.6468
