window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,1.3667,2.6131,1.6165,2.3056
2,3514,2024-08-16,2024-08-29,14,1.4401,3.214,1.7928,2.3411
3,3528,2024-08-30,2024-09-12,14,1.0049,1.5285,1.2363,1.601
4,3542,2024-09-13,2024-09-26,14,1.0942,1.6481,1.2838,1.7449
5,3556,2024-09-27,2024-10-10,14,1.5816,4.3575,2.0875,2.4315
6,3570,2024-10-11,2024-10-24,14,1.4115,2.7541,1.6596,2.1797
7,3584,2024-10-25,2024-11-07,14,1.3408,2.4026,1.55,2.1744
8,3598,2024-11-08,2024-11-21,14,0.7496,1.8664,1.3662,1.1559
9,3612,2024-11-22,2024-12-05,14,0.2952,0.1247,0.3531,0.4706
10,3626,2024-12-06,2024-12-19,14,1.1305,2.3458,1.5316,1.7629
11,3640,2024-12-20,2025-01-02,14,1.5992,4.5748,2.1389,2.6507
12,3654,2025-01-03,2025-01-16,14,0.6793,0.711,0.8432,1.0932
13,3668,2025-01-17,2025-01-30,14,1.2984,2.2905,1.5134,2.0267
14,3682,2025-01-31,2025-02-13,14,0.9712,1.531,1.2373,1.5055
15,3696,2025-02-14,2025-02-27,14,0.7201,0.6792,0.8242,1.1663
16,3710,2025-02-28,2025-03-13,14,1.2817,2.1773,1.4756,2.007
17,3724,2025-03-14,2025-03-27,14,0.7225,0.985,0.9925,1.1273
18,3738,2025-03-28,2025-04-10,14,0.9572,1.3289,1.1528,1.5262
19,3752,2025-04-11,2025-04-24,14,1.0927,2.2577,1.5026,1.8003
20,3766,2025-04-25,2025-05-08,14,1.129,1.7905,1.3381,1.8203
21,3780,2025-05-09,2025-05-22,14,0.5931,0.5949,0.7713,0.9512
22,3794,2025-05-23,2025-06-05,14,0.5797,0.4319,0.6572,0.9428
23,3808,2025-06-06,2025-06-19,14,0.3282,0.1568,0.396,0.5329
24,3822,2025-06-20,2025-07-03,14,0.3382,0.17,0.4123,0.5477
25,3836,2025-07-04,2025-07-17,14,0.5073,0.6396,0.7997,0.8086
26,3850,2025-07-18,2025-07-31,14,1.019,1.6096,1.2687,1.6995
27,3864,2025-08-01,2025-08-14,14,0.598,0.4698,0.6854,1.0016
28,3878,2025-08-15,2025-08-28,14,0.579,0.6654,0.8157,0.981
29,3892,2025-08-29,2025-09-11,14,0.3899,0.286,0.5348,0.6367
30,3906,2025-09-12,2025-09-25,14,0.3184,0.1439,0.3793,0.5193
31,3920,2025-09-26,2025-10-09,14,0.35,0.2069,0.4549,0.5618
32,3934,2025-10-10,2025-10-23,14,0.4353,0.2658,0.5156,0.705
33,3948,2025-10-24,2025-11-06,14,0.4136,0.2986,0.5464,0.6588
34,3962,2025-11-07,2025-11-20,14,0.7996,1.1672,1.0804,1.2716
35,3976,2025-11-21,2025-12-04,14,0.4279,0.2278,0.4773,0.681
36,3990,2025-12-05,2025-12-18,14,0.9653,1.348,1.161,1.5525
