window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.5355,0.3995,0.632,0.8859
2,3514,2024-08-16,2024-08-29,14,0.4412,0.3735,0.6111,0.7298
3,3528,2024-08-30,2024-09-12,14,0.4139,0.2445,0.4944,0.6721
4,3542,2024-09-13,2024-09-26,14,0.532,0.4738,0.6883,0.8706
5,3556,2024-09-27,2024-10-10,14,0.4621,0.3388,0.5821,0.7403
6,3570,2024-10-11,2024-10-24,14,0.6816,0.783,0.8848,1.0869
7,3584,2024-10-25,2024-11-07,14,0.9136,1.8202,1.3491,1.4262
8,3598,2024-11-08,2024-11-21,14,0.3304,0.1571,0.3964,0.5333
9,3612,2024-11-22,2024-12-05,14,0.3741,0.1974,0.4443,0.6009
10,3626,2024-12-06,2024-12-19,14,0.4211,0.2457,0.4957,0.6736
11,3640,2024-12-20,2025-01-02,14,1.1123,2.8329,1.6831,1.7417
12,3654,2025-01-03,2025-01-16,14,0.6228,0.5593,0.7479,1.0022
13,3668,2025-01-17,2025-01-30,14,1.1617,2.3477,1.5322,1.8223
14,3682,2025-01-31,2025-02-13,14,0.9051,1.2572,1.1212,1.4371
15,3696,2025-02-14,2025-02-27,14,0.711,0.6633,0.8144,1.1402
16,3710,2025-02-28,2025-03-13,14,1.9198,4.6762,2.1625,2.9841
17,3724,2025-03-14,2025-03-27,14,1.0006,1.5151,1.2309,1.583
18,3738,2025-03-28,2025-04-10,14,0.8562,1.1573,1.0758,1.3631
19,3752,2025-04-11,2025-04-24,14,0.9056,1.1509,1.0728,1.4535
20,3766,2025-04-25,2025-05-08,14,1.1346,1.8557,1.3623,1.8079
21,3780,2025-05-09,2025-05-22,14,0.6284,0.4749,0.6892,1.02
22,3794,2025-05-23,2025-06-05,14,0.5608,0.4162,0.6451,0.9087
23,3808,2025-06-06,2025-06-19,14,0.5631,0.42,0.6481,0.9139
24,3822,2025-06-20,2025-07-03,14,0.3957,0.2736,0.523,0.6398
25,3836,2025-07-04,2025-07-17,14,0.9496,3.436,1.8536,1.4386
26,3850,2025-07-18,2025-07-31,14,0.4844,0.3554,0.5962,0.79
27,3864,2025-08-01,2025-08-14,14,0.8111,0.7599,0.8717,1.3379
28,3878,2025-08-15,2025-08-28,14,0.1994,0.067,0.2588,0.3286
29,3892,2025-08-29,2025-09-11,14,0.346,0.2084,0.4565,0.5587
30,3906,2025-09-12,2025-09-25,14,0.4006,0.2083,0.4564,0.6481
31,3920,2025-09-26,2025-10-09,14,0.5677,0.7606,0.8721,0.8942
32,3934,2025-10-10,2025-10-23,14,0.6187,0.4587,0.6773,0.9935
33,3948,2025-10-24,2025-11-06,14,1.2274,4.4887,2.1187,1.8629
34,3962,2025-11-07,2025-11-20,14,1.1623,2.6386,1.6244,1.8079
35,3976,2025-11-21,2025-12-04,14,0.464,0.3505,0.592,0.7331
36,3990,2025-12-05,2025-12-18,14,0.7304,1.3409,1.158,1.141
