window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,1.4365,3.3464,1.8293,2.5891
2,3514,2024-08-16,2024-08-29,14,0.9025,1.2213,1.1051,1.6318
3,3528,2024-08-30,2024-09-12,14,1.0728,1.4426,1.2011,1.9082
4,3542,2024-09-13,2024-09-26,14,0.7155,0.7313,0.8552,1.2676
5,3556,2024-09-27,2024-10-10,14,0.5659,0.4538,0.6736,0.9994
6,3570,2024-10-11,2024-10-24,14,0.72,0.9054,0.9515,1.2784
7,3584,2024-10-25,2024-11-07,14,0.7597,0.8504,0.9222,1.3526
8,3598,2024-11-08,2024-11-21,14,0.9318,1.2127,1.1012,1.6146
9,3612,2024-11-22,2024-12-05,14,0.652,0.5483,0.7405,1.1517
10,3626,2024-12-06,2024-12-19,14,0.894,1.3283,1.1525,1.5745
11,3640,2024-12-20,2025-01-02,14,1.0426,1.953,1.3975,1.8721
12,3654,2025-01-03,2025-01-16,14,0.9513,1.8786,1.3706,1.6316
13,3668,2025-01-17,2025-01-30,14,0.4583,0.4295,0.6554,0.7903
14,3682,2025-01-31,2025-02-13,14,0.5966,0.5444,0.7378,1.0534
15,3696,2025-02-14,2025-02-27,14,0.735,0.6945,0.8334,1.2992
16,3710,2025-02-28,2025-03-13,14,0.6258,0.691,0.8312,1.0847
17,3724,2025-03-14,2025-03-27,14,0.5966,0.7544,0.8685,1.0214
18,3738,2025-03-28,2025-04-10,14,0.7641,0.7643,0.8742,1.3412
19,3752,2025-04-11,2025-04-24,14,1.1649,2.5572,1.5991,2.1181
20,3766,2025-04-25,2025-05-08,14,1.207,2.9692,1.7231,2.075
21,3780,2025-05-09,2025-05-22,14,0.6541,0.9009,0.9492,1.1283
22,3794,2025-05-23,2025-06-05,14,0.9149,1.1294,1.0627,1.6143
23,3808,2025-06-06,2025-06-19,14,1.2243,3.3107,1.8195,2.1225
24,3822,2025-06-20,2025-07-03,14,1.0354,1.7489,1.3225,1.7954
25,3836,2025-07-04,2025-07-17,14,1.0607,2.2565,1.5022,1.8086
26,3850,2025-07-18,2025-07-31,14,1.6111,2.9682,1.7228,2.8793
27,3864,2025-08-01,2025-08-14,14,0.9528,1.1711,1.0822,1.7299
28,3878,2025-08-15,2025-08-28,14,1.1737,2.3597,1.5361,2.176
29,3892,2025-08-29,2025-09-11,14,2.927,14.0058,3.7424,4.8176
30,3906,2025-09-12,2025-09-25,14,2.9713,15.8317,3.9789,4.7549
31,3920,2025-09-26,2025-10-09,14,1.5927,6.0926,2.4683,2.5762
32,3934,2025-10-10,2025-10-23,14,1.7,4.666,2.1601,2.7867
33,3948,2025-10-24,2025-11-06,14,1.5329,3.2556,1.8043,2.5497
34,3962,2025-11-07,2025-11-20,14,2.7553,10.482,3.2376,4.4855
35,3976,2025-11-21,2025-12-04,14,2.2991,7.716,2.7778,3.6919
36,3990,2025-12-05,2025-12-18,14,1.1924,3.3637,1.834,2.0851
