window_num,train_end_obs,horizon,fecha,actual,forecast_val,error,abs_error,sq_error,pct_error
1,3500,1,2024-08-02,67.385988,65.871125,1.514863,1.514863,2.29481,2.248038
1,3500,2,2024-08-03,64.709819,64.308701,0.401118,0.401118,0.160896,0.619872
1,3500,3,2024-08-04,63.618282,63.875037,-0.256755,0.256755,0.065923,0.403586
1,3500,4,2024-08-05,66.663327,66.277576,0.385751,0.385751,0.148803,0.578655
1,3500,5,2024-08-06,66.818527,66.294242,0.524285,0.524285,0.274875,0.78464
1,3500,6,2024-08-07,66.518624,66.268496,0.250128,0.250128,0.062564,0.376027
1,3500,7,2024-08-08,66.611302,66.252943,0.358359,0.358359,0.128421,0.537985
1,3500,8,2024-08-09,66.110734,65.862281,0.248453,0.248453,0.061729,0.375813
1,3500,9,2024-08-10,64.375898,64.203196,0.172702,0.172702,0.029826,0.268271
1,3500,10,2024-08-11,63.514877,63.740361,-0.225485,0.225485,0.050843,0.355011
1,3500,11,2024-08-12,66.384899,66.238427,0.146472,0.146472,0.021454,0.22064
1,3500,12,2024-08-13,65.823086,66.355568,-0.532482,0.532482,0.283537,0.80896
1,3500,13,2024-08-14,65.714913,66.472606,-0.757694,0.757694,0.574099,1.153001
1,3500,14,2024-08-15,63.987707,66.374914,-2.387207,2.387207,5.698759,3.730728
2,3514,1,2024-08-16,65.305175,66.609338,-1.304163,1.304163,1.700842,1.997029
2,3514,2,2024-08-17,63.792086,64.503247,-0.711161,0.711161,0.505749,1.11481
2,3514,3,2024-08-18,63.200806,63.465269,-0.264463,0.264463,0.069941,0.418449
2,3514,4,2024-08-19,65.660591,66.913259,-1.252668,1.252668,1.569176,1.907792
2,3514,5,2024-08-20,66.154228,66.700376,-0.546148,0.546148,0.298278,0.825568
2,3514,6,2024-08-21,66.090778,66.738743,-0.647965,0.647965,0.419858,0.980416
2,3514,7,2024-08-22,66.110843,66.99428,-0.883437,0.883437,0.780461,1.336297
2,3514,8,2024-08-23,65.90117,66.747588,-0.846418,0.846418,0.716423,1.284374
2,3514,9,2024-08-24,64.346951,64.814159,-0.467208,0.467208,0.218283,0.726076
2,3514,10,2024-08-25,63.498804,63.611266,-0.112462,0.112462,0.012648,0.177109
2,3514,11,2024-08-26,66.219155,67.120079,-0.900924,0.900924,0.811664,1.360519
2,3514,12,2024-08-27,66.364721,66.992306,-0.627585,0.627585,0.393863,0.94566
2,3514,13,2024-08-28,66.375909,67.060584,-0.684675,0.684675,0.46878,1.031512
2,3514,14,2024-08-29,67.432124,67.369671,0.062452,0.062452,0.0039,0.092615
3,3528,1,2024-08-30,66.613567,66.930397,-0.31683,0.31683,0.100381,0.475624
3,3528,2,2024-08-31,65.621057,65.344802,0.276256,0.276256,0.076317,0.420986
3,3528,3,2024-09-01,64.925191,64.438808,0.486383,0.486383,0.236568,0.749144
3,3528,4,2024-09-02,67.343765,66.760546,0.583219,0.583219,0.340144,0.866032
3,3528,5,2024-09-03,67.173057,67.459384,-0.286327,0.286327,0.081983,0.426252
3,3528,6,2024-09-04,68.126593,67.427158,0.699435,0.699435,0.489209,1.026669
3,3528,7,2024-09-05,67.667404,67.247226,0.420179,0.420179,0.17655,0.620947
3,3528,8,2024-09-06,67.792082,67.040031,0.75205,0.75205,0.56558,1.109349
3,3528,9,2024-09-07,65.48846,65.857423,-0.368963,0.368963,0.136133,0.563401
3,3528,10,2024-09-08,63.902313,64.594105,-0.691792,0.691792,0.478576,1.082577
3,3528,11,2024-09-09,67.986028,66.972308,1.01372,1.01372,1.027628,1.491071
3,3528,12,2024-09-10,67.317794,67.516568,-0.198774,0.198774,0.039511,0.295277
3,3528,13,2024-09-11,67.171387,67.427111,-0.255724,0.255724,0.065395,0.380703
3,3528,14,2024-09-12,67.430403,67.385457,0.044946,0.044946,0.00202,0.066655
4,3542,1,2024-09-13,67.758347,67.463736,0.294611,0.294611,0.086796,0.434797
4,3542,2,2024-09-14,65.133364,65.773689,-0.640324,0.640324,0.410015,0.983097
4,3542,3,2024-09-15,64.609417,65.058588,-0.449171,0.449171,0.201755,0.69521
4,3542,4,2024-09-16,67.647436,67.602704,0.044732,0.044732,0.002001,0.066125
4,3542,5,2024-09-17,68.362064,67.6261,0.735963,0.735963,0.541642,1.076567
4,3542,6,2024-09-18,67.865337,67.926709,-0.061372,0.061372,0.003767,0.090432
4,3542,7,2024-09-19,68.228196,67.926612,0.301585,0.301585,0.090953,0.442024
4,3542,8,2024-09-20,68.225376,67.810309,0.415067,0.415067,0.172281,0.608376
4,3542,9,2024-09-21,66.422155,65.996426,0.425729,0.425729,0.181245,0.640944
4,3542,10,2024-09-22,65.524147,65.187853,0.336294,0.336294,0.113094,0.513237
4,3542,11,2024-09-23,68.718101,67.878604,0.839497,0.839497,0.704755,1.221653
4,3542,12,2024-09-24,69.165019,67.787754,1.377265,1.377265,1.89686,1.991275
4,3542,13,2024-09-25,68.157911,68.029105,0.128806,0.128806,0.016591,0.188982
4,3542,14,2024-09-26,69.034965,68.026053,1.008911,1.008911,1.017902,1.46145
5,3556,1,2024-09-27,68.514922,68.110463,0.40446,0.40446,0.163588,0.590323
5,3556,2,2024-09-28,66.366057,66.350148,0.01591,0.01591,0.000253,0.023973
5,3556,3,2024-09-29,65.0416,64.828135,0.213465,0.213465,0.045567,0.328197
5,3556,4,2024-09-30,68.305835,68.153322,0.152513,0.152513,0.02326,0.22328
5,3556,5,2024-10-01,68.685371,68.415682,0.269689,0.269689,0.072732,0.392644
5,3556,6,2024-10-02,69.172733,68.270485,0.902248,0.902248,0.814051,1.30434
5,3556,7,2024-10-03,70.091247,68.355495,1.735752,1.735752,3.012836,2.476418
5,3556,8,2024-10-04,67.987643,67.974776,0.012867,0.012867,0.000166,0.018925
5,3556,9,2024-10-05,66.051651,66.343418,-0.291767,0.291767,0.085128,0.441725
5,3556,10,2024-10-06,64.986922,64.939602,0.047321,0.047321,0.002239,0.072816
5,3556,11,2024-10-07,69.1431,68.160396,0.982703,0.982703,0.965706,1.42126
5,3556,12,2024-10-08,69.74179,68.117884,1.623906,1.623906,2.637071,2.328455
5,3556,13,2024-10-09,69.862253,68.250001,1.612252,1.612252,2.599357,2.307759
5,3556,14,2024-10-10,68.999093,68.494207,0.504885,0.504885,0.254909,0.731728
6,3570,1,2024-10-11,68.708034,69.2683,-0.560267,0.560267,0.313899,0.815431
6,3570,2,2024-10-12,67.586566,67.323988,0.262578,0.262578,0.068947,0.388507
6,3570,3,2024-10-13,66.699536,65.955895,0.743641,0.743641,0.553002,1.114912
6,3570,4,2024-10-14,67.950358,68.879504,-0.929146,0.929146,0.863312,1.367389
6,3570,5,2024-10-15,68.475999,69.695915,-1.219916,1.219916,1.488196,1.781524
6,3570,6,2024-10-16,69.893637,69.249438,0.644199,0.644199,0.414993,0.921685
6,3570,7,2024-10-17,69.683314,69.42713,0.256184,0.256184,0.06563,0.367641
6,3570,8,2024-10-18,68.62495,69.367928,-0.742978,0.742978,0.552016,1.082664
6,3570,9,2024-10-19,66.784969,67.224068,-0.439099,0.439099,0.192808,0.657482
6,3570,10,2024-10-20,65.822124,66.060739,-0.238615,0.238615,0.056937,0.362515
6,3570,11,2024-10-21,67.693475,68.973233,-1.279758,1.279758,1.637782,1.89052
6,3570,12,2024-10-22,68.466126,69.448883,-0.982757,0.982757,0.965811,1.435391
6,3570,13,2024-10-23,68.254485,69.179522,-0.925037,0.925037,0.855694,1.355277
6,3570,14,2024-10-24,68.220148,69.265922,-1.045774,1.045774,1.093643,1.53294
7,3584,1,2024-10-25,68.359709,68.594099,-0.23439,0.23439,0.054939,0.342877
7,3584,2,2024-10-26,67.271266,67.004164,0.267103,0.267103,0.071344,0.397053
7,3584,3,2024-10-27,65.810821,66.37323,-0.562409,0.562409,0.316303,0.854584
7,3584,4,2024-10-28,68.105325,67.926651,0.178674,0.178674,0.031924,0.262349
7,3584,5,2024-10-29,69.954723,68.300827,1.653895,1.653895,2.73537,2.364237
7,3584,6,2024-10-30,68.968563,68.659218,0.309345,0.309345,0.095694,0.44853
7,3584,7,2024-10-31,68.625692,68.703224,-0.077532,0.077532,0.006011,0.112979
7,3584,8,2024-11-01,66.783517,68.490875,-1.707358,1.707358,2.915071,2.556556
7,3584,9,2024-11-02,66.437876,67.141661,-0.703785,0.703785,0.495313,1.059313
7,3584,10,2024-11-03,65.604949,66.326675,-0.721726,0.721726,0.520889,1.10011
7,3584,11,2024-11-04,68.05647,68.156192,-0.099723,0.099723,0.009945,0.146529
7,3584,12,2024-11-05,67.976946,68.329491,-0.352545,0.352545,0.124288,0.518625
7,3584,13,2024-11-06,68.526076,68.311799,0.214277,0.214277,0.045915,0.312694
7,3584,14,2024-11-07,68.100102,68.554167,-0.454065,0.454065,0.206175,0.666761
8,3598,1,2024-11-08,68.187384,68.366232,-0.178848,0.178848,0.031986,0.262289
8,3598,2,2024-11-09,66.489585,67.154374,-0.664789,0.664789,0.441944,0.999839
8,3598,3,2024-11-10,66.121959,66.079103,0.042856,0.042856,0.001837,0.064814
8,3598,4,2024-11-11,67.829379,68.34138,-0.512001,0.512001,0.262145,0.754836
8,3598,5,2024-11-12,68.031425,68.306753,-0.275328,0.275328,0.075805,0.404707
8,3598,6,2024-11-13,69.389848,68.115575,1.274273,1.274273,1.623772,1.836397
8,3598,7,2024-11-14,68.433793,68.489578,-0.055784,0.055784,0.003112,0.081516
8,3598,8,2024-11-15,68.124841,68.465252,-0.340411,0.340411,0.115879,0.499687
8,3598,9,2024-11-16,66.790552,67.168193,-0.377641,0.377641,0.142613,0.565411
8,3598,10,2024-11-17,68.709244,66.336028,2.373216,2.373216,5.632153,3.453998
8,3598,11,2024-11-18,68.542182,68.57459,-0.032408,0.032408,0.00105,0.047281
8,3598,12,2024-11-19,68.250272,68.650066,-0.399794,0.399794,0.159835,0.585776
8,3598,13,2024-11-20,68.300869,68.432107,-0.131237,0.131237,0.017223,0.192146
8,3598,14,2024-11-21,68.372431,68.681373,-0.308943,0.308943,0.095445,0.451852
9,3612,1,2024-11-22,68.577556,68.248131,0.329426,0.329426,0.108521,0.480369
9,3612,2,2024-11-23,67.155431,66.620484,0.534947,0.534947,0.286168,0.79658
9,3612,3,2024-11-24,66.247782,66.695441,-0.447659,0.447659,0.200399,0.675735
9,3612,4,2024-11-25,69.062868,67.496662,1.566207,1.566207,2.453003,2.267798
9,3612,5,2024-11-26,68.701922,67.996785,0.705137,0.705137,0.497218,1.026371
9,3612,6,2024-11-27,69.132854,68.068866,1.063988,1.063988,1.132069,1.539048
9,3612,7,2024-11-28,68.781467,68.301126,0.480341,0.480341,0.230727,0.698358
9,3612,8,2024-11-29,68.702179,68.042985,0.659193,0.659193,0.434536,0.959494
9,3612,9,2024-11-30,66.712825,66.475125,0.2377,0.2377,0.056501,0.356303
9,3612,10,2024-12-01,66.879076,66.534464,0.344612,0.344612,0.118758,0.515277
9,3612,11,2024-12-02,68.288789,67.701027,0.587762,0.587762,0.345464,0.860701
9,3612,12,2024-12-03,68.564816,68.067974,0.496842,0.496842,0.246852,0.724631
9,3612,13,2024-12-04,68.869992,67.997061,0.872932,0.872932,0.762009,1.267506
9,3612,14,2024-12-05,68.682408,68.463732,0.218676,0.218676,0.047819,0.318387
10,3626,1,2024-12-06,66.257819,68.473574,-2.215754,2.215754,4.909568,3.34414
10,3626,2,2024-12-07,66.151354,66.881846,-0.730492,0.730492,0.533618,1.104274
10,3626,3,2024-12-08,65.611533,66.294449,-0.682916,0.682916,0.466374,1.040848
10,3626,4,2024-12-09,68.132517,67.816298,0.316218,0.316218,0.099994,0.464122
10,3626,5,2024-12-10,68.327229,68.252281,0.074949,0.074949,0.005617,0.109691
10,3626,6,2024-12-11,68.819195,68.349838,0.469357,0.469357,0.220296,0.682014
10,3626,7,2024-12-12,68.552364,68.570474,-0.018111,0.018111,0.000328,0.026419
10,3626,8,2024-12-13,69.025005,68.347811,0.677194,0.677194,0.458591,0.981085
10,3626,9,2024-12-14,67.303087,66.848726,0.454361,0.454361,0.206444,0.675097
10,3626,10,2024-12-15,66.751018,66.343098,0.40792,0.40792,0.166398,0.611106
10,3626,11,2024-12-16,68.386997,67.868845,0.518152,0.518152,0.268481,0.757676
10,3626,12,2024-12-17,68.419644,68.342493,0.077151,0.077151,0.005952,0.112762
10,3626,13,2024-12-18,68.509369,68.424103,0.085266,0.085266,0.00727,0.124458
10,3626,14,2024-12-19,68.618713,68.628863,-0.01015,0.01015,0.000103,0.014792
11,3640,1,2024-12-20,68.698504,68.539995,0.158509,0.158509,0.025125,0.230731
11,3640,2,2024-12-21,67.151635,66.974792,0.176843,0.176843,0.031273,0.263348
11,3640,3,2024-12-22,69.809212,66.35305,3.456162,3.456162,11.945057,4.950868
11,3640,4,2024-12-23,67.875941,67.720647,0.155294,0.155294,0.024116,0.228791
11,3640,5,2024-12-24,66.807222,68.221736,-1.414514,1.414514,2.000851,2.117308
11,3640,6,2024-12-25,64.611789,68.192156,-3.580367,3.580367,12.819029,5.541353
11,3640,7,2024-12-26,67.843221,68.484086,-0.640865,0.640865,0.410708,0.944626
11,3640,8,2024-12-27,67.681945,68.384699,-0.702754,0.702754,0.493863,1.038318
11,3640,9,2024-12-28,66.630143,66.885588,-0.255445,0.255445,0.065252,0.383377
11,3640,10,2024-12-29,65.99838,66.245889,-0.247509,0.247509,0.061261,0.375024
11,3640,11,2024-12-30,67.614297,67.878397,-0.2641,0.2641,0.069749,0.390598
11,3640,12,2024-12-31,66.672628,68.301968,-1.62934,1.62934,2.65475,2.443792
11,3640,13,2025-01-01,64.915755,68.370196,-3.454441,3.454441,11.933161,5.321421
11,3640,14,2025-01-02,67.828193,68.756541,-0.928348,0.928348,0.86183,1.368676
12,3654,1,2025-01-03,67.958035,66.410266,1.547769,1.547769,2.395589,2.277537
12,3654,2,2025-01-04,66.374938,65.744351,0.630588,0.630588,0.397641,0.950039
12,3654,3,2025-01-05,67.51605,66.248105,1.267945,1.267945,1.607684,1.87799
12,3654,4,2025-01-06,66.589356,67.107361,-0.518005,0.518005,0.268329,0.77791
12,3654,5,2025-01-07,68.109508,67.503879,0.605629,0.605629,0.366786,0.889198
12,3654,6,2025-01-08,69.310156,67.461671,1.848485,1.848485,3.416897,2.666976
12,3654,7,2025-01-09,70.207297,67.733496,2.473801,2.473801,6.119692,3.523567
12,3654,8,2025-01-10,68.061633,66.683401,1.378232,1.378232,1.899523,2.024976
12,3654,9,2025-01-11,66.927388,65.845323,1.082065,1.082065,1.170865,1.616775
12,3654,10,2025-01-12,65.856512,66.504892,-0.64838,0.64838,0.420397,0.984534
12,3654,11,2025-01-13,68.233676,67.131388,1.102288,1.102288,1.215039,1.61546
12,3654,12,2025-01-14,68.05152,67.544443,0.507077,0.507077,0.257127,0.745137
12,3654,13,2025-01-15,68.164554,67.847744,0.316809,0.316809,0.100368,0.464771
12,3654,14,2025-01-16,68.452771,67.909576,0.543194,0.543194,0.29506,0.793531
13,3668,1,2025-01-17,68.314215,68.636378,-0.322163,0.322163,0.103789,0.47159
13,3668,2,2025-01-18,66.54619,67.344889,-0.798699,0.798699,0.63792,1.200218
13,3668,3,2025-01-19,66.277929,66.589158,-0.311229,0.311229,0.096864,0.469582
13,3668,4,2025-01-20,70.296454,68.117719,2.178736,2.178736,4.746889,3.099354
13,3668,5,2025-01-21,71.124925,68.441416,2.683509,2.683509,7.201222,3.772952
13,3668,6,2025-01-22,70.404751,68.445433,1.959319,1.959319,3.83893,2.782935
13,3668,7,2025-01-23,69.405948,68.646871,0.759076,0.759076,0.576197,1.093676
13,3668,8,2025-01-24,69.07411,68.483406,0.590704,0.590704,0.348931,0.855174
13,3668,9,2025-01-25,67.804191,67.273228,0.530963,0.530963,0.281921,0.783083
13,3668,10,2025-01-26,66.722291,66.582907,0.139384,0.139384,0.019428,0.208902
13,3668,11,2025-01-27,69.852881,68.188752,1.664129,1.664129,2.769327,2.382335
13,3668,12,2025-01-28,69.502352,68.437345,1.065007,1.065007,1.134241,1.532333
13,3668,13,2025-01-29,70.026033,68.447073,1.578959,1.578959,2.493113,2.254818
13,3668,14,2025-01-30,68.696529,68.631299,0.065231,0.065231,0.004255,0.094955
14,3682,1,2025-01-31,68.674246,69.263469,-0.589224,0.589224,0.347184,0.857998
14,3682,2,2025-02-01,66.913382,67.561711,-0.648329,0.648329,0.420331,0.968908
14,3682,3,2025-02-02,65.905995,66.742859,-0.836864,0.836864,0.700341,1.269784
14,3682,4,2025-02-03,68.539318,68.901169,-0.36185,0.36185,0.130936,0.527946
14,3682,5,2025-02-04,68.361347,68.850864,-0.489517,0.489517,0.239627,0.716073
14,3682,6,2025-02-05,68.777462,68.868807,-0.091345,0.091345,0.008344,0.132813
14,3682,7,2025-02-06,68.157356,69.107132,-0.949776,0.949776,0.902075,1.393505
14,3682,8,2025-02-07,69.438051,69.345676,0.092374,0.092374,0.008533,0.133031
14,3682,9,2025-02-08,67.617733,67.548964,0.068769,0.068769,0.004729,0.101703
14,3682,10,2025-02-09,66.368271,66.718338,-0.350067,0.350067,0.122547,0.527461
14,3682,11,2025-02-10,68.366702,68.765376,-0.398674,0.398674,0.158941,0.58314
14,3682,12,2025-02-11,68.160577,68.860014,-0.699437,0.699437,0.489213,1.026161
14,3682,13,2025-02-12,69.024878,68.920162,0.104716,0.104716,0.010965,0.151707
14,3682,14,2025-02-13,68.384052,69.18849,-0.804438,0.804438,0.64712,1.176353
15,3696,1,2025-02-14,68.098174,68.609757,-0.511583,0.511583,0.261717,0.751244
15,3696,2,2025-02-15,66.703425,67.292753,-0.589328,0.589328,0.347307,0.883504
15,3696,3,2025-02-16,65.448223,66.546564,-1.098341,1.098341,1.206354,1.678184
15,3696,4,2025-02-17,68.462812,68.383071,0.079741,0.079741,0.006359,0.116473
