Mode;K;Seed;Inertia
Original;3;42;7883.600469515011
Original;3;43;8432.9220601939
Original;3;44;8086.680150892344
Original;3;45;7942.64695919792
Original;3;46;8177.158058241595
Original;3;47;8072.483747356686
Original;3;48;8286.500580971133
Original;3;49;8202.80212566198
Original;3;50;8394.713457336395
Original;3;51;7874.741677024952
