Mode;K;Seed;Inertia
Original;2;42;10593.465999177679
Original;2;43;10828.997676390643
Original;2;44;9745.548160171276
Original;2;45;10168.715040899262
Original;2;46;10685.696655114294
Original;2;47;10257.643653128038
Original;2;48;10016.030629407607
Original;2;49;9849.227187068118
Original;2;50;10748.209947298843
Original;2;51;10257.643653128038
