Mode;K;Seed;Inertia
Original;2;42;10025.902423445334
Original;2;43;12247.700184987827
Original;2;44;9966.120064545328
Original;2;45;10077.44859189515
Original;2;46;10471.799181935467
Original;2;47;10451.615808974975
Original;2;48;10047.331759226514
Original;2;49;9998.163472104552
Original;2;50;9981.569184384698
Original;2;51;10370.171470874055
