Mode;K;Seed;Inertia
Original;3;42;8806.184229119928
Original;3;43;9515.54489193411
Original;3;44;8927.8339885355
Original;3;45;8353.02483147258
Original;3;46;8283.72723785911
Original;3;47;8506.446501929127
Original;3;48;9096.564125067845
Original;3;49;8478.232784556723
Original;3;50;8108.7808936123265
Original;3;51;8048.359202713278
