Station_ID;Cluster
1;0
2;0
3;0
4;1
5;1
6;1
8;1
10;1
11;1
12;1
13;0
14;0
16;1
17;2
18;0
19;0
20;0
24;0
25;1
26;1
27;0
28;1
29;1
30;1
31;1
47;0
48;0
50;1
54;1
55;2
86;0
