Station_ID;Cluster
1;3
2;3
3;2
4;3
5;2
6;3
8;3
10;3
11;3
12;3
13;2
14;3
16;2
17;0
18;0
19;2
20;2
24;0
25;1
26;2
27;2
28;3
29;0
30;2
31;2
47;0
48;2
50;1
54;2
55;0
86;0
