FECHA;Cluster_0;Cluster_1;Cluster_2
2015-01-02;68.16860099978557;58.350405789082565;63.41647918028588
2015-01-03;67.0083756824452;55.92160261844682;62.30382781957691
2015-01-04;66.29226728573082;56.65556199174023;62.83029284414581
2015-01-05;68.66724943452317;58.105651146324476;64.07537216292111
2015-01-06;66.43973492877456;59.72210252899909;61.0819985208268
2015-01-07;68.75942526901555;57.2024932395949;63.836558778405006
2015-01-08;69.24415898666601;57.51536755512749;63.747049923047726
2015-01-09;68.87754151994544;57.79353842749273;63.85373685802692
2015-01-10;67.3056653118236;55.72006907446979;62.17675397008971
2015-01-11;66.33526851007406;55.847238143011324;61.70316238809483
2015-01-12;69.06176391932459;57.85109637708703;63.630245075717255
2015-01-13;68.82776537429243;57.298238008563764;63.60586739232174
2015-01-14;69.03457676188795;56.989806022384826;63.69219442621018
2015-01-15;69.1014660010134;57.997322105316194;63.6300499859528
2015-01-16;69.26633995764388;57.244485211055654;64.10850573977203
2015-01-17;67.43029152122857;55.324221672614726;62.01776456309644
2015-01-18;66.88093009880151;55.06833586579573;61.22914877408357
2015-01-19;69.21537368344882;57.74453184322144;63.89385639453395
2015-01-20;69.028271870672;56.714417101876656;63.44191220989299
2015-01-21;69.34104286219805;57.21816460279481;63.88820037510945
2015-01-22;69.23500272601174;57.779432478274785;63.81618323731681
2015-01-23;69.16971812357662;57.01834551998569;63.564387316943964
2015-01-24;67.22999083818925;56.24059901652697;62.08452992087426
2015-01-25;66.27091092147008;55.89008048228709;60.910737690803046
2015-01-26;68.67209722359812;57.20632900774281;63.31901602783556
2015-01-27;68.82989192516507;57.894384835262215;63.45458735092451
2015-01-28;68.69166032400103;57.59328143848912;63.79545096216872
2015-01-29;69.13948834727647;57.438978076988505;63.67983600234547
2015-01-30;69.34922958047264;58.03299665167327;63.705565039081556
2015-01-31;67.86241516497901;56.969870536654696;63.03518603590231
2015-02-01;66.84649836509051;54.91627900472123;61.58080074460762
2015-02-02;69.83667168682159;57.80175930981837;64.59057673607673
2015-02-03;69.88193616838038;57.58351810042561;64.25974449115232
2015-02-04;69.19310042229527;57.02050217808776;63.92049309059924
2015-02-05;69.2490570628278;57.75987820020163;63.73974486288236
2015-02-06;69.30894614373149;56.91519831637904;63.71178554230077
2015-02-07;67.54820546472769;56.11225444789086;62.462243367991135
2015-02-08;66.68897336125706;54.966087680340934;61.81882796974737
2015-02-09;68.87994078589796;56.839353364455704;63.40468351402955
2015-02-10;68.94516572624543;56.56970832378824;64.40016105166941
2015-02-11;69.0500437932253;57.5508552581922;63.89105545218647
2015-02-12;69.37630451408968;57.790074793039025;63.61985871032946
2015-02-13;68.83189090006609;57.743468361541055;63.345443454912555
2015-02-14;67.23417807884172;55.44794248723533;61.673926928476526
2015-02-15;66.58798295458274;55.38308480516602;60.970504416005056
2015-02-16;68.75795308185344;56.733545943460285;63.42929834566114
2015-02-17;69.61618991576508;59.11915255092755;64.03814286179389
2015-02-18;68.91506333293;56.94355495703562;64.10311532589272
2015-02-19;69.11168400893358;56.885958263633455;63.45600783520893
2015-02-20;69.02897776166965;57.26621340553226;64.27205446692864
2015-02-21;67.65693175316304;57.00002867091349;61.89953894967453
2015-02-22;66.35776136905038;56.15004951437844;62.04284152051848
2015-02-23;68.74725316900908;57.29746682157617;63.715705126897944
2015-02-24;68.83874625147567;57.580649408101266;63.47490393194463
2015-02-25;68.65371968509251;57.86669710937085;63.513922770736926
2015-02-26;68.86007163198208;57.18887043518947;63.565708086322005
2015-02-27;68.63814428256751;57.03632601308156;63.27377780932004
2015-02-28;67.00678381104412;57.0990643729961;62.00122888451033
2015-03-01;66.49039046545282;56.36999765463528;60.71214633233726
2015-03-02;68.56046755349489;56.96132470396837;63.08234540833139
2015-03-03;68.9187826634593;57.48075450756261;62.963715760154486
2015-03-04;68.49101260535699;57.231574259508385;63.13005006393184
2015-03-05;68.5845557801428;56.66641941957892;62.965657542542324
2015-03-06;68.30655938425525;57.133780984733264;62.97062624384474
2015-03-07;66.56568891106116;56.775060578250105;61.705097894348015
2015-03-08;65.80119944930505;55.75690033358498;60.88828321178778
2015-03-09;68.08881582701187;57.63998727222004;62.608719989653665
2015-03-10;68.20691715324195;57.105135580214906;62.53735072065034
2015-03-11;68.16415775545009;56.88592211004376;62.8931806350317
2015-03-12;68.44534209028417;58.01302648028728;62.800613221342125
2015-03-13;68.62955447392487;58.43799037187101;63.506910635417874
2015-03-14;66.71016147328702;56.50508942983546;61.238994783448646
2015-03-15;66.36237268363699;54.90762948253935;60.550323720259215
