FECHA;1;2;3;4;5;6;8;10;11;12;13;14;16;17;18;19;20;24;25;26;27;28;29;30;31;47;48;50;54;55;86
2015-01-02;3019.951720402013;3427.6778654645045;1244.5146117713844;1949.8445997580454;2238.72113856834;3507.518739525683;2754.2287033381663;1905.4607179632462;3054.9211132155156;1737.8008287493744;841.3951416451947;2041.7379446695295;1230.268770812381;2137.9620895022304;595.6621435290103;1318.2567385564075;1584.893192461114;358.92193464500536;1972.4227361148555;1640.5897731995387;1348.9628825916532;2511.88643150958;630.957344480193;1000.0;1927.5249131909366;609.5368972401693;1479.1083881682073;2238.72113856834;1288.249551693135;638.263486190549;803.5261221856177
2015-01-03;2630.267991895384;3126.0793671239558;1109.174815262401;1862.0871366628694;1862.0871366628694;2951.209226666387;2344.228815319923;1548.816618912481;2630.267991895384;1862.0871366628694;716.143410212902;2018.3663636815597;1188.502227437019;870.9635899560806;724.4359600749906;1202.2644346174131;1288.249551693135;451.8559443749226;1862.0871366628694;1479.1083881682073;1188.502227437019;2162.71852372702;506.99070827470445;860.9937521846008;1798.8709151287874;537.0317963702527;1174.897554939529;1513.5612484362086;1188.502227437019;518.8000389289609;676.0829753919819
2015-01-04;2483.133105295573;2884.031503126606;1047.1285480508996;1778.2794100389228;1995.2623149688789;2786.121168629772;2089.2961308540407;1396.3683610559376;2454.7089156850284;1531.0874616820304;841.3951416451947;1678.8040181225606;988.553094656939;794.3282347242813;1011.5794542598983;1096.4781961431852;1496.235656094433;407.380277804113;1698.2436524617426;1364.5831365889253;2600.159563165272;2018.3663636815597;549.5408738576242;794.3282347242813;1698.2436524617426;575.4399373371573;1109.174815262401;1678.8040181225606;1047.1285480508996;530.8844442309885;732.8245331389037
2015-01-05;;;1479.1083881682073;1927.5249131909366;2213.094709605639;;2600.159563165272;2089.2961308540407;3198.895109691397;1883.6490894898002;870.9635899560806;2238.72113856834;1303.1667784522988;831.7637711026708;1412.537544622754;1678.8040181225606;1566.7510701081485;309.02954325135886;;;1462.1771744567184;2722.701308077913;912.0108393559096;988.553094656939;2041.7379446695295;623.7348354824192;1717.9083871575895;;1333.521432163324;630.957344480193;841.3951416451947
2015-01-06;2371.373705661655;2630.267991895384;794.3282347242813;1778.2794100389228;2137.9620895022304;2660.7250597988086;2065.3801558105292;1548.816618912481;2511.88643150958;2113.489039836648;2162.71852372702;1621.8100973589299;1059.2537251772887;1479.1083881682073;575.4399373371573;1161.4486138403427;1059.2537251772887;278.61211686297696;1678.8040181225606;1318.2567385564075;1288.249551693135;2065.3801558105292;568.8529308438414;668.3439175686149;954.992586021436;389.04514499428046;1083.9269140212039;1819.7008586099844;933.2543007969905;495.45019080479005;1798.8709151287874
2015-01-07;3019.951720402013;3672.8230049808462;1698.2436524617426;2137.9620895022304;1513.5612484362086;3758.374042884443;2884.031503126606;2041.7379446695295;3548.133892335753;2290.867652767775;860.9937521846008;2018.3663636815597;1396.3683610559376;716.143410212902;645.6542290346556;1659.5869074375614;1698.2436524617426;327.34069487883795;2187.761623949552;1717.9083871575895;1462.1771744567184;2691.534803926914;623.7348354824192;1148.1536214968828;1995.2623149688789;1011.5794542598983;1531.0874616820304;2041.7379446695295;1288.249551693135;645.6542290346556;966.0508789898141
2015-01-08;3126.0793671239558;3630.780547701014;1531.0874616820304;2041.7379446695295;1717.9083871575895;3890.4514499428046;2851.018267503907;2398.83291901949;3467.368504525317;3162.2776601683795;901.571137605957;2264.6443075930574;1412.537544622754;966.0508789898141;653.1305526474723;1462.1771744567184;1531.0874616820304;269.1534803926917;2162.71852372702;1737.8008287493744;1496.235656094433;2818.382931264455;623.7348354824192;1202.2644346174131;1972.4227361148555;562.341325190349;1566.7510701081485;2113.489039836648;1303.1667784522988;803.5261221856177;1230.268770812381
2015-01-09;3019.951720402013;3589.2193464500497;1548.816618912481;2290.867652767775;1840.7720014689544;3758.374042884443;2985.3826189179604;2426.6100950824166;3427.6778654645045;2041.7379446695295;870.9635899560806;2238.72113856834;1412.537544622754;803.5261221856177;660.6934480075957;1364.5831365889253;1603.24539069004;298.538261891796;2187.761623949552;1778.2794100389228;1496.235656094433;2851.018267503907;630.957344480193;1258.9254117941675;1905.4607179632462;812.8305161640995;1584.893192461114;2041.7379446695295;1348.9628825916532;794.3282347242813;1333.521432163324
2015-01-10;2630.267991895384;3235.9365692962842;1258.9254117941675;2137.9620895022304;1479.1083881682073;3162.2776601683795;2264.6443075930574;1778.2794100389228;2786.121168629772;1737.8008287493744;758.5775750291835;1949.8445997580454;1122.018454301963;724.4359600749906;595.6621435290103;1148.1536214968828;1348.9628825916532;327.34069487883795;1819.7008586099844;1462.1771744567184;1288.249551693135;2344.228815319923;582.103217770871;870.9635899560806;1717.9083871575895;543.2503314924336;1288.249551693135;1798.8709151287874;1148.1536214968828;588.843655355589;767.3614893618194
2015-01-11;2483.133105295573;2851.018267503907;881.0488730080137;1757.923613958693;1380.3842646028838;2722.701308077913;2187.761623949552;1584.893192461114;2398.83291901949;1531.0874616820304;724.4359600749906;1778.2794100389228;1071.519305237607;609.5368972401693;623.7348354824192;966.0508789898141;1216.1860006463678;384.5917820453535;1698.2436524617426;1333.521432163324;1148.1536214968828;1972.4227361148555;683.9116472814293;870.9635899560806;1531.0874616820304;660.6934480075957;1972.4227361148555;1603.24539069004;1011.5794542598983;588.843655355589;683.9116472814293
2015-01-12;3054.9211132155156;3548.133892335753;1548.816618912481;2162.71852372702;1621.8100973589299;3758.374042884443;2884.031503126606;2162.71852372702;3427.6778654645045;2540.972705549304;1035.142166679343;2754.2287033381663;1412.537544622754;812.8305161640995;870.9635899560806;1445.439770745928;1566.7510701081485;285.10182675039096;2213.094709605639;1778.2794100389228;1513.5612484362086;2691.534803926914;638.263486190549;1230.268770812381;1737.8008287493744;638.263486190549;1548.816618912481;2187.761623949552;1303.1667784522988;966.0508789898141;1000.0
2015-01-13;3019.951720402013;3467.368504525317;1303.1667784522988;2018.3663636815597;1531.0874616820304;3801.8939632056085;2951.209226666387;2264.6443075930574;3427.6778654645045;2065.3801558105292;954.992586021436;2113.489039836648;1445.439770745928;776.2471166286912;699.841996002273;1348.9628825916532;1621.8100973589299;421.6965034285823;2113.489039836648;1995.2623149688789;1445.439770745928;2851.018267503907;732.8245331389037;1273.5030810166616;1717.9083871575895;616.5950018614822;1659.5869074375614;2317.3946499684776;1318.2567385564075;;988.553094656939
