Station_ID;Cluster
1;4
2;1
3;0
5;0
6;1
8;4
10;4
11;1
12;4
13;3
14;4
16;0
17;3
18;3
19;0
20;0
24;2
25;1
26;0
27;0
28;4
29;3
30;0
31;0
47;3
48;0
50;4
54;0
55;3
86;3
